y_axis,datetime
0.02058,2023-05-29 20:22:04
0.02058,2023-05-29 20:22:05
-0.05194,2023-05-29 20:22:06
-0.18326,2023-05-29 20:22:07
-0.18326,2023-05-29 20:22:08
-0.12348,2023-05-29 20:22:09
-0.10682,2023-05-29 20:22:10
-0.10682,2023-05-29 20:22:11
-0.03822,2023-05-29 20:22:12
0.10388,2023-05-29 20:22:13
0.10388,2023-05-29 20:22:14
0.08428,2023-05-29 20:22:15
0.08722,2023-05-29 20:22:16
0.08722,2023-05-29 20:22:17
0.23618,2023-05-29 20:22:18
0.29302,2023-05-29 20:22:19
0.29302,2023-05-29 20:22:20
0.23422,2023-05-29 20:22:21
0.14504,2023-05-29 20:22:22
0.14504,2023-05-29 20:22:23
-0.00588,2023-05-29 20:22:24
-0.00588,2023-05-29 20:22:25
-0.05194,2023-05-29 20:22:26
-0.06076,2023-05-29 20:22:27
-0.06076,2023-05-29 20:22:28
0.02058,2023-05-29 20:22:29
-0.04018,2023-05-29 20:22:30
-0.04018,2023-05-29 20:22:31
-0.16562,2023-05-29 20:22:32
-0.11466,2023-05-29 20:22:33
